id,name,space,neighborhood_overview,host_id,host_name,host_since,host_response_time,host_response_time_minutes_to_response,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,market,country,property_type,room_type,accommodates,square_feet,price_night,cleaning_fee,availability_365,occupancy_rate,number_of_reviews,review_scores_value,calculated_host_listings_count,reviews_per_month,year_revenue,airbnb_commission,year_profit,greater_than_average
22828,Garage Apartment near S Congress,"Second story garage apartment (studio) with private entrance in quiet residential neighborhood. Unit includes full kitchen, bath and living area. Tastefully, fully furnished. Ideal for temporary housing needs in excess of 31 days. 3 miles/4.8 km to downtown, close to South Congress area. 6 miles/9 km to airport. 2 blocks from bus stop on downtown/UT route. Sorry but no bookings under 31 days (monthly only) due to City of Austin regulations on short term rentals. Please note, Airbnb is not authorized or obligated to collect hotel taxes on bookings of greater than 30 days within the State of Texas. Please contact Airbnb should their booking engine return hotel tax charge on long-term rentals. Features: * Posted rate includes all utilities/services (water, power, garbage, wireless internet, free laundry access; landline phone or cable TV not included); * Fully furnished with kitchen wares and appliances (range/stove, refrigerator, microwave, hot water kettle, coffee maker); * Quiet, resi",,56488,David,11/22/09,N/A,N/A,N/A,East Riverside,1,East Riverside,Austin,TX,78741,Austin,United States,Guesthouse,Entire home/apt,2,500,$49.00,,267,160.2,33,10,1,0.32,,,,0
22982,Private Clarksville 2-1/Sleeps Six,"The Empty Nest is the whole second floor of a vintage Clarksville home with private and separate entrance. Generous bedrooms and large common living space flooded with skylights make this a great home away from home in the heart of Austin. UT, downtown, 6th Street, and Lady Bird Lake are minutes by car, bike, or even foot. Private exterior stairway leads to private porch and entrance. The Empty Nest is open and airy with original local art. We are within 2 miles of the UT Football and Baseball stadiums, The Austin Convention Center, 6th Street Entertainment district, The Capitol, Zilker Park, UT Austin Campus, Mount Bonnell, Lady Bird Lake, Barton Springs Pool, Waterloo Records, and Whole Foods Market Flagship store. There are parks, hiking trails, a pharmacy, Grocery store, Coffee shop, bagel shop, bakery,taverns,shopping and many restaurants within walking distance of our apartment. Our neighborhood is one of the oldest in Austin and is made up of eclectic residents. The streets are","Clarksville is conveniently located to the Capitol, University of Texas, 2nd St and 6th St entertainment districts, Whole Foods Market Flagship, eateries, grocery stores, Nau's Pharmacy, Waterloo Records and numerous parks, hiking trails, Lady Bird Lake and public pools. The Convention Center and Zilker park are 1.5 miles.",89031,Gina,3/6/10,N/A,N/A,N/A,Clarksville,1,Clarksville,Austin,TX,78703,Austin,United States,Guest suite,Entire home/apt,6,N/A,$100.00,$50.00,286,171.6,108,10,1,1.03,,,,0
27632,Clarksville Condo - Minutes to DT!,"What a fabulous location! Thinking about moving to Austin? Renovating your home? Coming for work? Clarksville is minutes from downtown and so close to everything you want to see and do. See the fabulous Whole Foods, have a burger and a shake at Nau's, enjoy a margarita at sundown at Z' Tejas or go to a gallery on 6th Street. Clarksville has a dry cleaners, grocery store, restaurants, salons, shops, Cafe Medici, a wonderful park, playground and wading pool, convenience store, galleries and so much more. Condo is fully equipped with pots, pans, furniture, linens, towels washer & dryer inside unit. Bed is queen-sized. Pack your bags and come to Austin! If you like what you read so far, see below for a more detailed description. Thanks for looking! Rates are: $125/night $800/week $3000/month This is a fully furnished one bedroom, one bathroom condominium with vaulted ceilings on the 2nd floor of a small, 12-unit complex in lovely Clarksville/Old West Austin. Clarksville is registered",,119441,Angele,5/6/10,within a few hours,207,97%,Old West Austin,4,Old West Austin,Austin,TX,78703,Austin,United States,Condominium,Entire home/apt,2,600,$100.00,$75.00,309,185.4,88,10,1,0.89,,,,0
32396,South Austin Comfort,"** Please contact me prior to booking. Thanks!** You'll have 3 bedrooms and 2 bathrooms. You can have up to 6 people here at once. -Bedroom 1 has a king-sized bed, en-suite bathroom with shower in the tub. Ceiling fan and drawer space is available, there is no closet. There is a TV with cable/remote and DVD player. - Bedroom 2 has a queen-sized bed. The linens are quite comfortable and there is a duvet if you want it and plenty of blankets if you prefer those. There is also a ceiling fan and space in the drawers and walk-in closet. The dresser has a mirror over it. - Bedroom 3 (study) has an inflatable queen-sized mattress with cozy sheets, pillows and blankets (no closet). - There are also 2 couches in the living room for one person each - they do not fold out, but most of my friends and family prefer to sleep there because they're both so darn comfy. - Bedrooms 2 and 3 are private and share one full bathroom. It's got a combination shower/tub; single sink; and toilet. - Ho",,140174,Tiffany,6/7/10,N/A,N/A,N/A,Cherry Creek,1,Cherry Creek,Austin,TX,78749,Austin,United States,House,Entire home/apt,6,1175,$55.00,$150.00,0,0,9,10,1,0.09,,,,0
37324,furnished bedroom and full bath,Furnished Room/full bath available in quiet cul-de-sac.,"Neighborhood is very quiet and safe. Very near Mopac and I35. As well as major employers: National Instruments, the Domain, IBM.",161189,Chris,7/8/10,within an hour,45,100%,Scofield Ridge,1,Scofield Ridge,Austin,TX,78727,Austin,United States,House,Private room,1,132,$35.00,$0.00,280,168,26,10,1,0.63,,,,0
39152,ACL South Austin Cosmic Groove :~>,"The area has it's own private entrance by a pond, is a cozy 2 bedroom apartment in a "" shotgun"" style. One room w/ a Double bed other side has a twin bed. Bathroom included between ,Sleek counter with mini fridge,micro wave,toaster,drip coffe,sink -","Coming to Austin for one of the many Marathons? Lady Bird Lake (Colorado River) and our great jogging trails are only 5 blocks away. Quickly WALK BIKE to Zilker Park, home of Barton Springs Pool and the Austin City Limits Music Festival! So many world class chefs are located in the 78704 zip code... Yummy Also creative drinks ! Easy to get around all the historic music locations by walking or on the bus line! Downtown area, UT Campus, & Capital building very close attractions as well! You are literally super close to everything awesome that Austin has to offer!",167892,Veronica,7/15/10,within an hour,27,100%,Bouldin Creek,3,Bouldin Creek,Austin,TX,78704,Austin,United States,Apartment,Entire home/apt,3,N/A,$160.00,$40.00,13,7.8,181,9,3,1.83,,,,0
39993,Tiny Tarrytown Apartment,"PLEASE READ THE WHOLE DESCRIPTION AND HOUSE RULES BEFORE BOOKING Private attached apartment tucked away in historic lush West Austin neighborhood. Five minutes to downtown, walk to Lake Austin, easy access to hike and bike trails, 4 blocks from public boat ramp, public golf course, and several restaurants (Abel's on the Lake, Hula Hut, Mozart's) on Lake Austin. Many other nearby points of interest, restaurants, and services. THE APARTMENT IS SMALL - 200 sq ft (hence the name ""Tiny Tarrytown Apartment""), and IT IS PRICED ACCORDINGLY. If you desire more spacious accommodations, please see our other attached apartment, ""Sunny Central Austin Apartment,"" at www.airbnb.com/rooms/46929. Guests have told us the American Leather sofa bed is as comfortable or more comfortable than a regular bed. Memory foam mattress on solid surfaces - NOTE: MATTRESS IS FIRM). No uncomfortable springs under mattress as with usual sofa beds. Olympic queen size, i.e., 80L x 66W, which is wider than normal que","Tarrytown is a 5-10 minute drive to everything that makes Austin such a great city. Central, quiet, friendly, tree-lined street. Lovely neighborhood park with swimming pool 1/2 mile away. Walk or ride to Lady Bird Lake Trail, nearby restaurants and nightspots. Bike path at end of street that connects to major bike routes. Our location provides quick access to all the great spots.",210965,Susan And Anthony,8/24/10,within an hour,52,100%,Tarrytown,2,Tarrytown,Austin,TX,78703,Austin,United States,House,Entire home/apt,2,1300,$59.00,$20.00,210,126,70,10,2,1.25,,,,0
46929,Sunny Central Austin Apartment,"PLEASE READ THE WHOLE DESCRIPTION AND HOUSE RULES BEFORE BOOKING Private attached apartment tucked away in historic lush West Austin neighborhood. Five minutes to downtown, walk to Lake Austin, easy access to hike and bike trails, 4 blocks from public boat ramp, public golf course, and several restaurants (Abel's on the Lake, Hula Hut, Mozart's) on Lake Austin. Many other nearby points of interest, restaurants, and services. Please note that we have a separate listing for a another private apartment attached to our home (""Tiny Tarrytown Apartment"") that can be seen at www.airbnb.com/rooms/39993 Private entrance Free WiFi (U-verse fiber network, 300Mbps) No Kitchen, but we provide a small frig/freezer (with ice) and microwave 9% city hotel/motel tax is included in rental rate For your convenience, we provide a Nespresso espresso machine and a variety of Nespresso capsules, tea, tourist maps, books about what to see, do, and where to eat in Austin Cable TV (AT&T U-verse TV U200 with DVR","Tarrytown is a 5-10 minute drive to everything that makes Austin such a great city. Central, quiet, friendly, tree-lined street. Lovely neighborhood park with swimming pool 1/2 mile away. Walk or ride to Lady Bird Lake Trail, nearby restaurants and nightspots. Bike path at end of street that connects to major bike routes. Our location provides quick access to all the great spots.",210965,Susan And Anthony,8/24/10,within an hour,24,100%,Tarrytown,2,Tarrytown,Austin,TX,78703,Austin,United States,House,Entire home/apt,4,N/A,$105.00,$40.00,242,145.2,328,10,2,3.36,,,,0
47572,Harmonious Home in North Austin,"I like to keep my home nice and tidy. I take care of the house while you maintain your bedroom and bathroom only. My two little 10 yr. old yorkies are well-behaved, don't shed, and are clean. They love company. I have an extra bedroom for you that is good for relaxation. It has black out curtains for good rest. It is for one person. It has a double bed. You will have your own bathroom. One shower which we share. I will provide a few toiletries to start. I have bath towels and sheets you can use but feel free to bring your own if you prefer. Room is cool in summer and warm in winter. There is one closet. There is a washer and dryer in garage and wireless Internet in the house. There is a flat screenTV in your room for local television. There is a patio to read and relax. Large driveway for parking on right side. Security alarm. Security cameras. We are 5 min. from Mopac and 183N and 10 min. to I-35. 20 min. or less to downtown. Bus stop one short block away. Metro Rail is","It is a quiet street with few kids. The surrounding kids are usually in by 8pm. Most kids are in by 8pm. It is quiet even on weekends. Because I am single, I do have an alarm system and security cameras.",215917,Belinda,8/28/10,N/A,N/A,N/A,,1,,Austin,TX,78758,Austin,United States,House,Private room,1,1200,$54.00,$100.00,325,195,0,,1,,,,,0
50310,Super Hip South Austin Studio,"Beautiful studio space available in Austin! Amenities include: parking; private entrance; FREE washer and dryer; full PRIVATE bathroom with shower and towels; kitchenette with hot plate, toaster oven, electric kettle, and mini-fridge; one DOUBLE sized, tempurpedic platform bed with amazing memory foam topped mattress; queen air mattress for additional guests; wi-fi; sprung wood floors; front garden for chillin'. Since this room functions as my music room when it's not being rented, it is almost soundproof. Musicians looking for a place to stay where they can practice without worry are welcomed and encouraged to stay here!! Around the corner from the #7 bus route which can take you almost ANYWHERE in Austin, including 6th street and Warehouse districts; University of Texas, Austin; and all the way to Highland Mall in North Austin (use the CapMetro site for schedules and planning). I can assist with restaurant recommendations and night life, as well as point you in the direction of yog","This is ""real"" south Austin...don't be surprised to hear Tejano, and even Mariachis, on a Friday or Saturday night...excellent taco truck around the corner for breakfast and lunch, or until they run out of tortillas, with bus stop located there.",230553,Sevylla,9/10/10,within a few hours,327,100%,McKinney,2,McKinney,Austin,TX,78744,Austin,United States,Guest suite,Entire home/apt,3,N/A,$40.00,,275,165,55,10,2,2.16,,,,0
50318,Scooby Doo House,"I've seen a lot of cool places but this is the c-o-o-l-e-s-t!!!! This cottage has high ceilings, tons of sunlight and a very creative layout. The red oak floors give everything a nice warm glow and the rooms are furnished relatively sparsely. The whole place feels spacious, cool and comfy. The living room has a comfortable pillowtop queen-sized bed in the middle of it! You will also find a flat screen tv that is connected to netflix. i usually keep a number of kid's shows, yoga workouts, and other various films queued up or else you can search for other movies on there. It also plays dvds of which i have a few (sorry, no tv stations!) On the ground floor is my daughter's room. In here there are two beds (bunked). The bottom bed is a double with an extremely comfortable Zen 8"" memory foam mattress. The top is a twin size bed with a regular mattress. By ascending the ladder in the living room, you will be able to enter the loft studio. There's an array of curios up here and a",This neighborhood is very mellow and quiet. It's close to EVERYTHING. Lots of stuff is walkable and it's also close to several buslines. If you are driving all over town a lot it's right in the center of town and right in between the two highways.,12409,Flip,4/6/09,N/A,N/A,N/A,West Campus,2,West Campus,Austin,TX,78705,Austin,United States,Condominium,Entire home/apt,2,650,$100.00,$50.00,168,100.8,27,10,2,0.28,,,,0
50334,Villa in Central Austin for ACL!,"•First floor suite for rent in 2 story “Tuscan Villa” style guest house in historic walking neighborhood of Clarksville, just 10 minutes from downtown Austin and 20 minutes from Zilker Park •Downtown, South Congress, running and bike trails are minutes away via taxi or bus (stop is one block away) or 20 minute walk •2 blocks from 4 restaurants, including Jeffrey’s, the number one high end restaurant in Austin; drycleaners, grocery store, drugstore and coffee shop •Two private entrances – French doors off of courtyard and off of private patio •Outdoor shower on the private patio •Double bed (Egyptian cotton linens, pillows and blankets provided) •Couch, large flat screen TV and mini refrigerator •Armoir for clothes storage •Stainless steel desk •Private bathroom – walk-in rain can shower, vessel sink •Washer/dryer •WIFI and cable TV, complimentary •Parking on the street •More photos on request",,230747,Suzanne,9/10/10,N/A,N/A,N/A,Clarksville,1,Clarksville,Austin,TX,78703,Austin,United States,Guesthouse,Entire home/apt,2,N/A,$300.00,,365,219,3,10,1,0.03,,,,0
51100,Walking distance to ACL,"You will be in the heart of Clarksville walk to DT. Within 3 blocks Fresh Plus Grocery, Medici coffee, and 5 restaurant. and 6 more blocks to Downtown. Ability to sleep 6 3 Bedrooms 1 queen and 1 full. and 2 twins... 3 story modern home. Walking to DT is 35 minutes passing Waterloo records and Whole foods. City Bus at end of street takes you DT in 6 minutes. Walk to ACL less than a mile.",,235136,Charla,9/15/10,N/A,N/A,N/A,Clarksville,1,Clarksville,Austin,TX,78703,Austin,United States,Townhouse,Entire home/apt,6,1700,$500.00,$100.00,363,217.8,1,10,1,0.01,,,,0
56690,STUDIO IN SOCO. BEST LOCATION!,"https://www.airbnb.com/locations/austin/south-congress Our house has a completely redone guest house/media room and a upstairs apartment, used generally as an office. Located in 78704, this is very close to Hotel San Jose and Kimber Modern and Saint Cecilia. Downstairs is a very cool space with a queen size temperpedic Murphy bed. Projection TV and unique architectural doors make this a fantastic space. Galley Kitchen with large refrigerator and modern stylish bathroom. Couch and small kitchen table. South Congress is full of restaurants to walk to including Perla's and HopDoddy. We are a 4 block walk to Home Slice and Hey Cupcake. You may not need to rent a car. There is a city bus that runs along South Congress and drops you off downtown. There are lots of Car2Gos in the neighborhood. We have 2 Bikes you can rent/borrow. No more than 2 people South by Southwest (SXSW) is an Austin, Texas based company dedicated to planning conferences, trade shows, festivals and other events. SXSW f",,268988,Stephanie,10/23/10,within an hour,49,100%,South Congress,2,South Congress,Austin,TX,78704,Austin,United States,Apartment,Entire home/apt,2,N/A,$150.00,$50.00,60,36,143,10,2,1.55,,,,0
